,Baden-Württemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thüringen,Total,BundEinsatzkräfteBundeswehrBundespolizei,Bund
2021-01-30 17:00:00,54807.0,96180.0,29642.0,12772.0,4127.0,9021.0,39954.0,14961.0,41127.0,84356.0,15019.0,7919.0,13911.0,19161.0,9786.0,8958.0,461701.0,,
2021-01-30 18:00:00,54807.0,96180.0,29642.0,12772.0,4127.0,9021.0,39954.0,14961.0,41127.0,84356.0,15019.0,7919.0,13911.0,19161.0,9786.0,8958.0,461701.0,,
2021-01-30 19:00:00,54807.0,96180.0,29642.0,12772.0,4127.0,9021.0,39954.0,14961.0,41127.0,84356.0,15019.0,7919.0,13911.0,19161.0,9786.0,8958.0,461701.0,,
2021-01-30 20:00:00,54807.0,96180.0,29642.0,12772.0,4127.0,9021.0,39954.0,14961.0,41127.0,84356.0,15019.0,7919.0,13911.0,19161.0,9786.0,8958.0,461701.0,,
2021-01-30 21:00:00,54807.0,96180.0,29642.0,12772.0,4127.0,9021.0,39954.0,14961.0,41127.0,84356.0,15019.0,7919.0,13911.0,19161.0,9786.0,8958.0,461701.0,,
2021-01-30 22:00:00,54807.0,96180.0,29642.0,12772.0,4127.0,9021.0,39954.0,14961.0,41127.0,84356.0,15019.0,7919.0,13911.0,19161.0,9786.0,8958.0,461701.0,,
2021-01-30 23:00:00,54807.0,96180.0,29642.0,12772.0,4127.0,9021.0,39954.0,14961.0,41127.0,84356.0,15019.0,7919.0,13911.0,19161.0,9786.0,8958.0,461701.0,,
2021-01-31 00:00:00,54807.0,96180.0,29642.0,12772.0,4127.0,9021.0,39954.0,14961.0,41127.0,84356.0,15019.0,7919.0,13911.0,19161.0,9786.0,8958.0,461701.0,,
2021-01-31 01:00:00,54807.0,96180.0,29642.0,12772.0,4127.0,9021.0,39954.0,14961.0,41127.0,84356.0,15019.0,7919.0,13911.0,19161.0,9786.0,8958.0,461701.0,,
2021-01-31 02:00:00,54807.0,96180.0,29642.0,12772.0,4127.0,9021.0,39954.0,14961.0,41127.0,84356.0,15019.0,7919.0,13911.0,19161.0,9786.0,8958.0,461701.0,,
2021-01-31 03:00:00,54807.0,96180.0,29642.0,12772.0,4127.0,9021.0,39954.0,14961.0,41127.0,84356.0,15019.0,7919.0,13911.0,19161.0,9786.0,8958.0,461701.0,,
2021-01-31 04:00:00,54807.0,96180.0,29642.0,12772.0,4127.0,9021.0,39954.0,14961.0,41127.0,84356.0,15019.0,7919.0,13911.0,19161.0,9786.0,8958.0,461701.0,,
2021-01-31 05:00:00,54807.0,96180.0,29642.0,12772.0,4127.0,9021.0,39954.0,14961.0,41127.0,84356.0,15019.0,7919.0,13911.0,19161.0,9786.0,8958.0,461701.0,,
2021-01-31 06:00:00,54807.0,96180.0,29642.0,12772.0,4127.0,9021.0,39954.0,14961.0,41127.0,84356.0,15019.0,7919.0,13911.0,19161.0,9786.0,8958.0,461701.0,,
