,vaccinated_rel
Baden-Württemberg,36.28762186279154
Bayern,38.02489908940652
Berlin,33.77531107175355
Brandenburg,32.22289764078016
Bremen,37.812719281505345
Hamburg,36.01796830212212
Hessen,37.02653274131372
Mecklenburg-Vorpommern,38.95150789297933
Niedersachsen,38.15257140455224
Nordrhein-Westfalen,39.09162872625238
Rheinland-Pfalz,35.26852004065558
Saarland,41.44000275614128
Sachsen,31.97834660413839
Sachsen-Anhalt,35.37007320089193
Schleswig-Holstein,34.51109986903246
Thüringen,33.719997112560456
ImpfzentrenBund,-
Total,36.96579031482921
