,vaccinated_rel
Baden-Württemberg,7.36688265299412
Bayern,7.183435370933528
Berlin,9.26812465271069
Brandenburg,7.17655348581403
Bremen,8.858605817364012
Hamburg,6.732537448849725
Hessen,7.677510464243458
Mecklenburg-Vorpommern,6.83741071972679
Niedersachsen,6.838326322731862
Nordrhein-Westfalen,7.4082834328501335
Rheinland-Pfalz,8.09359674618573
Saarland,8.577172462500773
Sachsen,9.760383853421354
Sachsen-Anhalt,7.120524954186794
Schleswig-Holstein,8.235492237168677
Thüringen,10.9996446949392
ImpfzentrenBund,-
Total,7.6730183546635615
